Title,GenreID,Runtime,IMDBScore,Language,Premiere_Date
Enter the Anime,G1,58,2.5,English,05-08-2019
Dark Forces,G2,81,2.6,Spanish,21-08-2020
The App,G3,79,2.6,Italian,26-12-2019
The Open House,G9,94,3.2,English,19-01-2018
Kaali Khuhi,G4,90,3.4,Hindi,30-10-2020
Drive,G5,147,3.5,Hindi,01-11-2019
Leyla Everlasting,G6,112,3.7,Turkish,04-12-2020
The Last Days of American Crime,G2,149,3.7,English,05-06-2020
Paradox,G8,73,3.9,English,23-03-2018
Sardar Ka Grandson,G6,139,4.1,Hindi,18-05-2021
Searching for Sheela,G1,58,4.1,English,22-04-2021
The Call,G7,112,4.1,Korean,27-11-2020
Whipped,G17,97,4.1,Indonesian,18-09-2020
All Because of You,G5,101,4.2,Malay,01-10-2020
Mercy,G2,90,4.2,English,22-11-2016
After the Raid,G1,25,4.3,Spanish,19-12-2019
Ghost Stories,G9,144,4.3,Hindi,01-01-2020
The Last Thing He Wanted,G2,115,4.3,English,21-02-2020
What Happened to Mr. Cha?,G6,102,4.3,Korean,01-01-2021
Death Note,G9,100,4.4,English,25-08-2017
"Hello Privilege. It's Me, Chelsea",G1,64,4.4,English,13-09-2019
Secret Obsession,G2,97,4.4,English,18-07-2019
Sextuplets,G6,99,4.4,English,16-08-2019
The Girl on the Train,G2,120,4.4,Hindi,26-02-2021
Thunder Force,G6,105,4.4,English,09-04-2021
Fatal Affair,G2,89,4.5,English,16-07-2020
Just Say Yes,G17,97,4.5,Dutch,02-04-2021
Seriously Single,G6,107,4.5,English,31-07-2020
The Misadventures of Hedi and Cokeman,G6,99,4.5,French,10-02-2021
5 Star Christmas,G6,95,4.6,Italian,07-12-2018
After Maria,G1,37,4.6,English,24-05-2019
I Am the Pretty Thing That Lives in the House,G9,89,4.6,English,28-10-2016
Paris Is Us,G10,83,4.6,French,22-02-2019
Porta dos Fundos: The First Temptation of Christ,G6,46,4.6,Portuguese,03-12-2019
Rattlesnake,G9,85,4.6,English,25-10-2019
The Players,G6,88,4.6,Italian,15-07-2020
We Are One,G1,86,4.6,French,14-07-2020
Finding Agnes,G7,105,4.7,Filipino,30-11-2020
IO,G3,95,4.7,English,18-01-2019
Sentinelle,G5,80,4.7,French,05-03-2021
Sol Levante,G11,4,4.7,English,02-04-2020
The Binding,G7,93,4.7,Italian,02-10-2020
We Can Be Heroes,G5,100,4.7,English,25-12-2020
Christmas Crossfire,G2,106,4.8,German,04-12-2020
Coin Heist,G2,97,4.8,English,06-01-2017
Mrs. Serial Killer,G2,106,4.8,Hindi,01-05-2020
Nobody Sleeps in the Woods Tonight,G9,103,4.8,Polish,28-10-2020
Take the 10,G6,80,4.8,English,20-01-2017
The Main Event,G6,101,4.8,English,10-04-2020
The Ridiculous 6,G7,119,4.8,English,11-12-2017
Earth and Blood,G5,80,4.9,French,17-04-2020
Fearless,G11,89,4.9,English,14-08-2020
